"threat_id","threat:name","threat:category","threat:severity","threat:cve"
10900,"Altavista_Toolbar Translate - typied and copied text",adware,low,
10026,"Comisproc User-Agent Traffic",spyware,medium,
10572,FreeAccess,adware,high,
10043,"Bancos User-Agent Traffic",spyware,medium,
10562,"7FaSST Search",adware,low,
10881,PraizeToolbar,adware,low,
10508,"Netcraft_Toolbar",adware,low,
10993,"Silent_Spy_2_10 init connection",adware,high,
10949,"DSrch config info retrieval 1",adware,medium,
10414,"AskJeevesToolbar Get toolbar cfg",adware,low,
10839,"SubSeven email notification",adware,high,
10859,"Slinkyslate_Toolbar",adware,low,
10951,"Ambush_1_0 ping",adware,high,
10974,"Need2Find Initial configuration",adware,low,
10472,"Web_Nexus exclurl",adware,low,
10802,"AB_System_Spy info send through email","data-theft",high,
10057,"Fisp User-Agent Traffic",spyware,medium,
10879,"Bionet4_0_3 2 initial connection",adware,medium,
10021,"Joleee User-Agent Traffic",spyware,medium,
10573,"Downloader_YD",backdoor,high,
10796,"Net_Runner 2 download file",adware,high,
10930,"NetSphere_1_3_1",adware,high,
10038,"Hoax User-Agent Traffic",spyware,medium,
10924,"FindTheWebsiteYouNeed 1 search hijack","browser-hijack",medium,
10599,"PsyRAT_1_0",adware,high,
10553,"Lop Collect informtation request 1","data-theft",low,
10012,"Pakes User-Agent Traffic",spyware,medium,
10036,"Obfuscatorxz User-Agent Traffic",spyware,medium,
10299,"WSearch autoupdate",adware,low,
10756,"DonaldDick_1_5_b_3",backdoor,high,
10708,"ExactSearch setup",adware,low,
10731,"MyWay_Speed_Bar Track activity 2",adware,low,
10055,"Onescan User-Agent Traffic",spyware,medium,
10360,Wishbone,adware,medium,
10873,"JustJoke_BackDoor_2_6",backdoor,high,
10704,"MyWebSearch_Toolbar startup configuration","browser-hijack",medium,
10747,"FreewareFileBar search","data-theft",low,
10882,"Shopnav Self-update request 2","browser-hijack",medium,
10052,"Brontok User-Agent Traffic",spyware,medium,
10932,"InCommand_1_7 init connection",adware,high,
10990,TeomaSearchBar,adware,medium,
10413,"AskJeevesToolbar Download update",adware,low,
10383,"Blubster_2_X",adware,medium,
10293,"SpyAnywhere IP delivery send mail","data-theft",high,
10610,"LetMeRule_2_0",backdoor,high,
10718,"Comedy_Planet Deliver Ads",adware,low,
10539,"TheSnakeTrojan initial connection",adware,high,
10530,"Supreme_Toolbar Search request",adware,low,
10379,"A311Death php notification",adware,high,
10858,"IE_Trusted_Zone_Hijack","browser-hijack",high,
10931,"InCommand_1_7 file manage",adware,high,
10028,"Nsanti User-Agent Traffic",spyware,medium,
10285,"Virtumonde advertise",adware,low,
10035,"Banload User-Agent Traffic",spyware,medium,
10039,"Kryptik User-Agent Traffic",spyware,medium,
10550,"Lop IE autosearch hijack","browser-hijack",low,
10607,inExplorer,adware,low,
10022,"Buterat User-Agent Traffic",spyware,medium,
10318,"BrowserPal adblocker function",adware,low,
10934,"GenericDownloader_AB",adware,high,
10042,"Chifrax User-Agent Traffic",spyware,medium,
10647,"Desktop_Scout",backdoor,critical,
10061,"Viking User-Agent Traffic",spyware,medium,
10687,"HackerWacker HWPE shell file logs",keylogger,high,
10898,"Altavista_Toolbar Track user activity",adware,low,
10460,"Piolet Ads request",adware,low,
10643,"Specrem_6_2 Upload file",adware,high,
10725,"Katux_2_0 system info",adware,high,
10895,HyperLinker,adware,medium,
10554,"Lop Check update request","browser-hijack",low,
10897,"SWBar_AdRoad_Cpr","browser-hijack",low,
10689,HMToolbar,adware,medium,
10721,"BookedSpace Self Update",adware,medium,
10001,"Autorun User-Agent Traffic",spyware,medium,
10661,"Push_Toolbar Toolbar information request Toolbar information request","data-theft",low,
10942,BridalBasicsToolbar,adware,low,
10007,"Fraudload User-Agent Traffic",spyware,medium,
10542,Wildek,adware,high,
10652,"Gator_eWallet runtime1",adware,low,
10805,"AB_System_Spy Init connection",keylogger,high,
10401,TheCoolbar,"browser-hijack",low,
10455,"WowOk_MP3_Bar_1_0 advertising 2","browser-hijack",medium,
10032,"Primecasino User-Agent Traffic",spyware,medium,
10037,"Otwycal User-Agent Traffic",spyware,medium,
10510,Intruzzo,backdoor,high,
10975,"Gator_DashBar search",adware,low,
10019,"Swisyn User-Agent Traffic",spyware,medium,
10781,"Seekmo Config Upload",adware,low,
10404,"HRat_1_0",backdoor,high,
10838,"SubSeven initial connection",adware,high,
10812,"MySearch_Adrotator",adware,low,
10866,"Gator_WebSecureAlert",adware,low,
10423,"WhenU_DesktopBar Redirect",adware,low,
10989,"WhenU_WhenUSearch searchbar","browser-hijack",medium,
10926,"XBarre Error page hijack","browser-hijack",medium,
10470,"TrustyFiles_3_1_0_1 sponsor selection",adware,low,
10619,"Fore_1_0_beta",backdoor,high,
10500,"StealthRedirector view netstat",adware,medium,
10849,"CommonName_Toolbar report",adware,medium,
10835,"Furax_1_0_b2",adware,high,
10777,"DSK_Lite_1_0 cgi notification",adware,high,
10668,"Speil_KeyLogger_2b send out log",keylogger,high,
10641,"Remoter Initial connection",adware,high,
10630,"ABCSearch redirect","browser-hijack",low,
10748,"Striker_1_0",adware,high,
10973,"Need2Find search query submission",adware,low,
10491,"Minicom_Lite initial connection",adware,high,
10425,"WhenU_DesktopBar Search Request",adware,low,
10832,"Shnappz_HTTP_RAT Notification",adware,high,
10342,"WordiQ_Toolbar seaching keyword","data-theft",medium,
10826,"AlfaCleaner Entice user",adware,low,
10688,"HackerWacker HWPE windows activity logs",keylogger,high,
10732,"MyWay_Speed_Bar Track activity 1",adware,low,
10621,TargetSaver,adware,low,
10068,"Dybalom User-Agent Traffic",spyware,medium,
10029,"Slaper User-Agent Traffic",spyware,medium,
10884,"Shopnav Collect user information","browser-hijack",medium,
10374,"Shit_Heep",adware,high,
10575,"MediaSeek_Pl_Client login",adware,medium,
10660,"Nuclear_Uploader_1_0",adware,high,
10059,"Trojandropper User-Agent Traffic",spyware,medium,
10576,"CodeName_Alvin",keylogger,high,
10728,"MyWay_Speed_Bar Switch engines",adware,low,
10074,"Delf User-Agent Traffic",spyware,medium,
10356,"Dkangel send udp packet",backdoor,high,
10549,"GirlFriend_1_35",adware,high,
10616,"SpyOutSide FTP",keylogger,high,
10282,"Internet_Marketing_Toolbar",adware,low,
10625,"SARS_Notifier cgi notification php notification",adware,medium,
10436,"Y3k_1_2 icq notification",adware,high,
10395,"Roach_1_0 remote control actions",adware,high,
10927,"XBarre Show porn photos/videos","browser-hijack",medium,
10009,"Nsis User-Agent Traffic",spyware,medium,
10578,HSAdvisorToolbar,"browser-hijack",low,
10441,"WinShell_5_0 Download arbitrary files",adware,high,
10818,"AutoSpy show autospy",adware,high,
10770,"RAXSearch Pop-up RaxSearch window","browser-hijack",low,
10764,"Freak_1_0 irc notification",adware,high,
10555,"Lop Pass info to server","browser-hijack",low,
10357,AceSpy,keylogger,high,
10600,"Back_Attack_0_98",backdoor,high,
10560,Hanuman,backdoor,high,
10978,"EzCyberSearch Download FASTCLICK.COM POP-UNDER CODE","browser-hijack",medium,
10669,BonziBuddy,adware,high,
10997,PcShare,backdoor,high,
10435,"Y3k_1_2 not found page request",adware,high,
10006,"Small User-Agent Traffic",spyware,medium,
10676,"Girafa_Toolbar search hijack search hijack","browser-hijack",medium,
10950,"DSrch config info retrieval 2",adware,medium,
10375,"PerfectKeylogger SMTP action",keylogger,high,
10473,"Web_Nexus config",adware,low,
10730,"MyWay_Speed_Bar Collect information","data-theft",low,
10580,"CIA_1_22 ICQ notification",adware,high,
10067,"Fraudpack User-Agent Traffic",spyware,medium,
10224,"FunBuddyIcons Redirect request","browser-hijack",low,
10418,"AcidDrop_1_0 Update info - aim",adware,high,
10629,"DimBus_1_0",adware,high,
10062,"Dyfuca User-Agent Traffic",spyware,medium,
10940,"NavExcel_Search_Toolbar",adware,medium,
10910,"Vampire_1_2",adware,high,
10018,"Dropper User-Agent Traffic",spyware,medium,
10656,EvilFTP,adware,high,
10863,"VCatch_5 1 pop up ads",adware,low,
10803,"AB_System_Spy log retrieve",keylogger,high,
10637,"Troj_Spywad_X",adware,medium,
10004,"Suspicious User-Agent Strings",spyware,medium,
10070,"Jorik User-Agent Traffic",spyware,medium,
10440,"Activity_Monitor_3_8 agent discover broadcast",keylogger,high,
10548,"Free_Access_Bar",adware,low,
10442,"WinShell_5_0 Logon",adware,high,
10799,"Bandook_1_0",adware,high,
10044,"Vb User-Agent Traffic",spyware,medium,
10365,"CometCursorPlus!",adware,low,
10051,"Mudrop User-Agent Traffic",spyware,medium,
10679,"Little_Witch command pattern",adware,high,
10825,Webredir,adware,low,
10540,WeatherScope,adware,low,
10531,"Supreme_Toolbar Get cfg",adware,low,
10608,"BTGrab http",adware,low,
10735,"Force_Trojan init connection",keylogger,high,
10485,"Dark_Moon initial connection",adware,high,
10298,"WSearch mp3 search",adware,low,
10851,Able2Know,"browser-hijack",low,
10297,"WSearch desktop search",adware,low,
10971,"YellowPages Collect information","data-theft",low,
10755,"Unify icq notification 2",adware,high,
10709,"ExactSearch exactad",adware,low,
10680,"DivX_Pro",adware,low,
10471,"TrustyFiles_3_1_0_1 url retrieval",adware,low,
10816,"AutoSpy hide taskbar",adware,high,
10809,"WeirdOnTheWeb track.cgi request",adware,low,
10381,"BadRat_v1_1",adware,low,
10968,"CIA_1_3 3 initial connection",adware,high,
10300,"Extreme_Biz uniq1.php",adware,medium,
10370,Acropolis,keylogger,high,
10034,"Gaba User-Agent Traffic",spyware,medium,
10527,"Supreme_Toolbar Third party information collection","data-theft",low,
10722,"BookedSpace .bsx.zjs Request",adware,medium,
10758,"SearchItBar search in toolbar","browser-hijack",medium,
10408,"GameSpy_Arcade",adware,low,
10987,NCPH,adware,high,
10753,"CyberNetic_1_62 Signature type:Runtime",adware,high,
10422,"WhenU_DesktopBar SearchChunks update",adware,low,
10707,"ExactSearch search",adware,low,
10343,"WordiQ_Toolbar retrieves link information","data-theft",medium,
10582,"CIA_1_22 Initial connection",adware,high,
10901,"Altavista_Toolbar Collect information","data-theft",low,
10372,"BundleWare Inintial connection",adware,low,
10419,"AcidDrop_1_0 Update info - basic",adware,high,
10281,"Schwindler_1_82",adware,high,
10248,"Internet_Optimizer autosearch hijack","browser-hijack",medium,
10631,"KGB_Keylogger",keylogger,high,
10698,"Insurrection_1_1_0 reverse connection",adware,high,
10588,ZapSpot,adware,low,
10392,"TIB_Porn_Dialer",adware,medium,
10002,"Suspicious User-Agent Traffic",spyware,medium,
10902,"Altavista_Toolbar Search requests",adware,low,
10541,NetThief,backdoor,high,
10813,"Smart_Search 2 get setting information","browser-hijack",medium,
10959,"WebRebates download activities",adware,medium,
10719,"NetControl_1_0_8",backdoor,high,
10925,"XBarre promotexte request","browser-hijack",medium,
10626,"SARS_Notifier cgi notification",adware,medium,
10941,PowerZone,adware,medium,
10247,"Internet_Optimizer error page hijack","browser-hijack",medium,
10972,"YellowPages Get toolbar settings",adware,low,
10031,"Clicker User-Agent Traffic",spyware,medium,
10604,"CoolWebSearch_CameUp IE auto search hijack","browser-hijack",medium,
10648,"DotComToolbar url hook",adware,medium,
10347,"FearlessLite_1_0_1",adware,high,
10514,"MyNapster Track activity - counter",adware,low,
10683,"HackerWacker HWAE keystrokes log",keylogger,high,
10740,YellowBridge,adware,low,
10961,"Evade_1_1",adware,high,
10744,LokiTech,adware,medium,
10477,"SMASoft_WebDownloader",adware,medium,
10526,"HatredFriend email notification",adware,low,
10390,MiragoSearchBar,adware,low,
10060,"Sality User-Agent Traffic",spyware,medium,
10454,"WowOk_MP3_Bar_1_0 search assistant hijacking","browser-hijack",medium,
10410,"Neurotickat_1_3 icq notification",adware,high,
10030,"Adh User-Agent Traffic",spyware,medium,
10923,"FindTheWebsiteYouNeed 2 surf monitor (post)","browser-hijack",medium,
10591,"DataRape_1_0",adware,high,
10597,"GlobalKiller_1_0 notification",adware,high,
10713,"Warez_P2P get file from data.warezclient.com",adware,low,
10069,"Smalltroj User-Agent Traffic",spyware,medium,
10658,"RAD_1_2_3",adware,high,
10899,"Altavista_Toolbar Get toolbar cfg",adware,low,
10715,"Warez_P2P ip.php request",adware,low,
10967,"StationRipper version check",adware,medium,
10481,"Seed_1_0",backdoor,high,
10278,"MySearch_Bar","browser-hijack",low,
10909,"PC_Parent",adware,high,
10804,"AB_System_Spy info update",keylogger,high,
10398,"Smart_Finder IE autosearch hijack 1","browser-hijack",medium,
10568,"StealthWatcher_2000 tcp connection setup",keylogger,high,
10654,"MiniCommand_2_0_3 directory listing",adware,high,
10337,"TrustyFiles_2_4_0_4 startup access",adware,low,
10970,"CIA_1_3 1 email notification",adware,high,
10271,"Painter ping alive signal","browser-hijack",medium,
10977,"Gator_DashBar adopt",adware,low,
10754,"Unify cgi notification 1",adware,high,
10459,"Piolet Net status",adware,low,
10544,"Drop_Agent_ada getz.php",adware,low,
10984,"Yet_Another_Trojan_1_3",adware,high,
10424,"WhenU_DesktopBar Search Request 2",adware,low,
10848,"Generic_Backdoor",backdoor,medium,
10783,"Seekmo Reporting Keyword",adware,low,
10893,"ProRat1_9 initial connection",backdoor,high,
10054,"Renum User-Agent Traffic",spyware,medium,
10801,"EZ_Tracks pop up window",adware,low,
10757,"SearchItBar autosearch hijack","browser-hijack",medium,
10535,"Ultimate_Destruction_1_0 1 kill process",adware,high,
10417,"HunterGop_1_5 screenshoot",adware,high,
10439,"Activity_Monitor_3_8 agent up notification",keylogger,high,
10579,"DeepThroat_3_1",adware,low,
10612,"UCmore Get sponsor/ad links",adware,low,
10346,"phex 1 connection information","data-theft",critical,
10513,"MyNapster Redirect to Amazon music",adware,low,
10885,"Shopnav IE auto search hijack","browser-hijack",medium,
10645,"Tequila_Bandita_1_2",adware,high,
10008,"Chir User-Agent Traffic",spyware,medium,
10053,"Onestage User-Agent Traffic",spyware,medium,
10361,"Instafinder error page redirect",adware,low,
10739,"CnsMin_3721 downloads","browser-hijack",medium,
10279,"Asia_Finest_Toolbar ads and track information",adware,low,
10458,"Piolet Check update",adware,low,
10726,"Katux_2_0 screen capture",adware,high,
10916,"NetDemon_1_0 send message","data-theft",medium,
10593,"FreeCruise_toolbar Signature type:Runtime",adware,medium,
10605,"CoolWebSearch_CameUp Home page hijack","browser-hijack",medium,
10815,"AutoSpy make directory",adware,high,
10779,"DSK_Lite_1_0 initial connection",adware,high,
10979,"EzCyberSearch Check toolbar setting","browser-hijack",medium,
10622,AddressesToolbar,"browser-hijack",low,
10912,"Virtual_Bouncer software updating",adware,medium,
10289,"BroadcastPC Get config",adware,low,
10914,"NetDemon_1_0 file manager",adware,medium,
10565,"StealthWatcher_2000 agent status monitoring",keylogger,high,
10685,"HackerWacker HWAE windows activity logs",keylogger,high,
10955,"Robo_Hack_1_2",adware,high,
10047,"Cqoy User-Agent Traffic",spyware,medium,
10864,"DelfinMediaViewer contact with server",adware,low,
10966,"StationRipper ad display",adware,medium,
10354,"Dkangel email notification",backdoor,high,
10811,"Portal_of_Doom_3_0 initial connect",adware,high,
10528,"Supreme_Toolbar Pass information to its controlling server","data-theft",low,
10474,"Web_Nexus pop up shown",adware,low,
10551,"Lop Pop up ads","browser-hijack",low,
10706,OfferOptimizer,"browser-hijack",low,
10829,"CouponBar Get updates to toolbar buttons",adware,low,
10359,"IST_ISTbar Installation",adware,low,
10639,"Remoter Hide/show desktop",adware,high,
10546,"Drop_Agent_ada nc.php",adware,low,
10695,"Insurrection_1_1_0 icq notification",adware,high,
10448,"EasyDates porn page popup",adware,medium,
10797,"Net_Runner 1 initial connection",adware,high,
10807,"WeirdOnTheWeb Log url",adware,low,
10733,"MyWay_Speed_Bar Request config",adware,low,
10397,"Smart_Finder IE autosearch hijack 2","browser-hijack",medium,
10817,"AutoSpy show nude pic",adware,high,
10592,"DataRape_1_0 1 message manager",adware,high,
10056,"Warezov User-Agent Traffic",spyware,medium,
10314,"Ezula_Toptext Help redirect",adware,low,
10962,"Evade_1_1  initial connection",adware,high,
10682,"HackerWacker HWAE urls browsed log",keylogger,high,
10595,"GlobalKiller_1_0 initial connection",adware,high,
10396,"Smart_Finder Search engines hijack","browser-hijack",medium,
10326,"2Seek_Toolbar search in toolbar",adware,medium,
10684,"HackerWacker HWAE word filtered echelon log",keylogger,high,
10742,"NetTrack_Spy report browsing",adware,medium,
10027,"Poison User-Agent Traffic",spyware,medium,
10850,"CommonName_Toolbar search",adware,medium,
10646,"Dephin_Media_Viewer",adware,low,
10921,"RichFind update","browser-hijack",medium,
10598,SpamBlockerUtility,adware,low,
10677,"Girafa_Toolbar toolbar update toolbar update","browser-hijack",medium,
10852,"Transponder_DLMax",adware,low,
10759,"WinFixer_2005",adware,low,
10486,ParisVoyeur,adware,low,
10050,"Startpage User-Agent Traffic",spyware,medium,
10843,"VX2_LocalNRD redirect",adware,medium,
10663,"Erazer_1_1 sin notification",adware,high,
10831,"Shnappz_HTTP_RAT",adware,high,
10662,"Push_Toolbar User information collect","data-theft",low,
10049,"Onlinegames User-Agent Traffic",spyware,medium,
10763,"Freak_1_0 initial connection",adware,high,
10230,CasinoOnNet,adware,medium,
10574,"MediaSeek_Pl_Client tricker activity",adware,medium,
10982,"EzCyberSearch IE auto search hijack","browser-hijack",medium,
10657,"CWS_Cameup search",adware,high,
10664,"Erazer_1_1 init connection",adware,high,
10586,"CIA_1_22 Execute batch script remotely",adware,high,
10364,Ullysse,adware,high,
10394,"Roach_1_0 email notification",adware,high,
10581,"CIA_1_22 SMTP notification",adware,high,
10778,"DSK_Lite_1_0 icq notification",adware,high,
10723,"BookedSpace Receipt Query",adware,medium,
10227,"FunBuddyIcons Request config","browser-hijack",low,
10988,"WhenU_WhenUSearch search chunks","browser-hijack",medium,
10496,"EUniverse_Updater",adware,medium,
10362,"Instafinder Initial setting",adware,low,
10533,"Satanz_Backdoor_2_0",backdoor,high,
10014,"Agent2 User-Agent Traffic",spyware,medium,
10624,"SARS_Notifier php notification irc notification",adware,medium,
10746,"Trojan_Proxy_Atiup Signature type:Runtime",backdoor,high,
10862,"VCatch_5 2 update",adware,low,
10875,AdpowerZone,adware,high,
10025,"Reputation User-Agent Traffic",spyware,medium,
10063,"Fakeav User-Agent Traffic",spyware,medium,
10518,Farsighter,adware,medium,
10584,"CIA_1_22 Execute file",adware,high,
10058,"Rimecuda User-Agent Traffic",spyware,medium,
10434,"Y3k_1_2  init connection",adware,high,
10830,"CouponBar Download new coupon offers and links",adware,low,
10479,"NetRaider_0_0",adware,high,
10456,"WowOk_MP3_Bar_1_0 advertising 1",adware,medium,
10003,"Palevo User-Agent Traffic",spyware,medium,
10727,"Clandestine_1_0 icq notification",adware,high,
10798,iMeshBar,adware,high,
10287,"Mini_Oblivion icq notification",adware,high,
10886,"Shopnav IE search assistant hijack","browser-hijack",medium,
10505,"Dark_Connection_Inside_1_2",backdoor,high,
10749,"Forced_Entry_1_1_beta",backdoor,high,
10874,"BladeRunner_0_8_0",adware,high,
10478,"SearchNugget redirects mistyped urls",adware,medium,
10720,"Eye_Spy_Pro_1_0",keylogger,high,
10407,"Machers_Toolbar",adware,low,
10808,"WeirdOnTheWeb Monitor user web activity",adware,low,
10915,"NetDemon_1_0 open browser",adware,medium,
10673,"Nova_1_0",adware,high,
10821,"Back_Attack_1_6",backdoor,high,
10928,"XBarre Search request","browser-hijack",medium,
10494,"AltNet Update",adware,medium,
10729,"MyWay_Speed_Bar Ads",adware,low,
10806,"WeirdOnTheWeb Update notifier",adware,low,
10828,"CouponBar View coupon offers",adware,low,
10488,CoolCat,adware,low,
10023,"Genome User-Agent Traffic",spyware,medium,
